squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,category,priceClass
29356,96,1,1,46,4864,4,9,1990,1,1,1780,393,413,1,3,Luxury,low
82560,46,0,0,56,25513,4,8,2012,1,1,3950,4525,218,1,4,Basic,very_high
13560,1,1,0,17,85418,4,3,2001,1,0,7736,3841,296,1,1,Basic,very_low
69246,63,1,0,29,43940,5,3,1995,1,1,4516,5884,154,0,3,Basic,high
80699,20,1,0,88,65145,3,10,2009,0,1,1740,1538,372,0,8,Basic,very_high
31669,8,1,1,21,4471,9,7,1998,1,0,5984,2875,920,0,7,Luxury,low
35742,46,1,1,47,84138,7,1,2014,1,1,1732,6019,243,0,7,Luxury,low
62028,20,0,1,64,11907,6,7,1993,0,1,6994,3415,333,0,7,Basic,high
69180,63,0,0,50,35595,9,9,1993,1,1,9378,8365,686,0,6,Basic,high
5132,54,1,1,42,95955,6,1,2018,0,0,3199,5389,215,1,2,Basic,very_low
13984,6,0,1,54,95904,9,10,2002,0,0,308,9837,660,0,1,Basic,very_low
38355,80,1,1,22,75266,8,7,1992,0,0,5234,2855,487,0,3,Basic,low
4052,14,1,1,34,63495,1,3,2002,1,0,247,4181,953,0,0,Luxury,very_low
59885,28,1,1,25,35351,5,4,2010,1,0,2803,7183,944,1,3,Luxury,medium
57372,33,1,1,87,34056,1,5,1998,1,0,3125,7179,630,1,1,Luxury,medium
64013,22,0,0,59,37935,2,8,2007,0,1,4357,492,261,1,0,Basic,high
52756,76,1,1,54,82737,7,3,1998,1,0,4010,8343,260,0,10,Luxury,medium
18943,6,0,1,26,71256,1,9,2012,0,1,258,4961,687,0,4,Basic,very_low
54977,51,0,0,10,64654,3,7,2004,1,0,5615,8100,300,1,2,Basic,medium
82665,29,0,1,85,73427,6,5,2018,1,1,3307,1314,125,0,3,Basic,very_high
81101,65,0,1,87,46040,4,4,2017,0,1,5698,1807,233,1,4,Basic,very_high
84512,61,0,1,31,73956,1,1,1998,0,0,4506,2709,637,0,7,Basic,very_high
80039,64,0,0,39,32244,10,4,1990,0,0,7828,1720,700,1,1,Basic,very_high
62282,35,0,0,44,12448,9,1,2010,1,0,80,5415,139,1,10,Basic,high
63209,92,1,0,53,40896,8,6,2017,0,1,1766,1436,560,0,10,Basic,high
24415,18,1,1,79,79354,6,6,2002,0,1,7712,8172,153,0,3,Basic,low
51678,100,1,0,64,24703,8,5,2016,0,1,4890,6253,147,1,5,Basic,medium
10697,20,1,1,19,88129,9,7,2020,1,0,2175,7806,357,1,1,Luxury,very_low
98450,23,0,0,33,73903,3,9,1999,1,1,6424,1754,984,0,9,Basic,very_high
20978,10,0,0,86,90537,2,5,1996,0,0,3089,4185,698,1,1,Basic,low
44722,47,0,1,91,94840,6,8,1992,0,1,6947,9309,621,0,10,Basic,medium
69261,41,1,1,29,49856,7,5,2008,0,1,6518,3834,546,1,3,Basic,high
84479,4,0,1,51,67682,7,4,2010,0,1,9349,4058,810,1,7,Basic,very_high
77337,32,0,0,68,86551,2,4,1991,0,0,6260,6902,287,0,2,Basic,high
69764,94,1,1,73,74348,9,6,2008,0,0,8607,2326,874,0,9,Basic,high
83358,55,1,0,68,72913,10,2,2015,1,0,723,3480,584,1,0,Basic,very_high
72449,56,0,1,48,87561,2,6,2003,0,1,1566,8038,937,1,7,Basic,high
